Plot,plot_id1,stock_seed_id,plot_block,plot_rep,StalkLodgingRawcount,Stand_count,Success.lodged,Failure.number_not_lodged,PC1,PC2,PC3,disease
MT42,16GD0112,011:1002-4,7,1,88.23529412,17,15,2,4.57574921,-16.78285018,3.46049604,2312.5
FR4326,16GD0113,Ames_27129_,7,1,0,19,0,19,NA,NA,NA,192.5
NC318,16GD0114,NSL_8581_,7,1,20,20,4,16,-18.57486015,-4.7329421,2.558625832,2487.5
SC55,16GD0115,PI_550518_,7,1,65,20,13,7,-19.23736641,-3.592567657,-3.032600652,1225
TX601,16GD0116,PI_550441_,7,1,60,15,9,6,-40.79401842,23.87484308,-0.412848122,1335
VA99,16GD0117,PI_520774_,7,1,0,20,0,20,23.77838176,-26.66930226,5.234288296,785
KUI2007,16GD0118,011:196-1,7,1,25,20,5,15,NA,NA,NA,1382.5
P39,16GD0119,Ames_27101_,7,1,65,20,13,7,17.56201466,-61.89522224,-2.021288541,1062.5
CML277,16GD0120,21:955-2Bulk,7,1,21.05263158,19,4,15,-45.3760567,28.62419903,2.18965058,902.5
DE_2,16GD0121,Ames_27123_,7,1,0,19,0,19,4.877862773,-15.54662992,-2.714909895,1382.5
NC356,16GD0122,Ames_27085_,7,1,0,19,0,19,-50.38864048,30.52342336,-3.934690696,977.5
KY228,16GD0123,Ames_27139_,7,1,0,19,0,19,1.949660594,-11.20373122,2.20632367,977.5
F6,16GD0124,011:292-5,7,1,42.10526316,19,8,11,-8.278925039,-8.908372944,-2.777179673,1107.5
CQ184A,16GD0125,Ames_27172_,7,1,46.15384615,13,6,7,NA,NA,NA,NA
H99,16GD0126,Ames_27126_,7,1,80,20,16,4,5.836814934,-25.84988198,-7.65478989,577.5
NC346,16GD0127,Ames_32877_,8,1,0,10,0,10,-70.78917039,58.74822659,-11.20488565,577.5
NC368,16GD0128,Ames_27136_,8,1,0,18,NA,NA,74.34774003,57.08299112,-44.05250434,740
CO125,16GD0129,Ames_27121_,8,1,0,14,NA,NA,2.966754614,-15.11390052,-1.360064838,755
CI28A,16GD0130,Ames_27066_,8,1,0,17,0,17,-3.696627339,-5.08161588,1.41241627,755
NC336,16GD0131,Ames_27108_,8,1,0,18,0,18,-67.1112213,58.26204757,-9.052153494,835
A635,16GD0132,Ames_28366_,8,1,80,20,16,4,68.251475,23.3859272,82.59711739,1637.5
FR4326,16GD0133,PI_550483_,8,1,0,18,0,18,NA,NA,NA,272.5
MS153,16GD0134,001:55-2,8,1,15,20,3,17,10.6946933,-26.65811566,2.655153295,1172.5
CQ184A,16GD0135,PI_595565_,8,1,0,3,0,3,NA,NA,NA,NA
H91,16GD0136,PI_587140_,8,1,0,19,0,19,79.4128994,32.5185848,94.50939111,1607.5
EP1,16GD0137,Ames_19293_,8,1,70,20,14,6,-7.904623468,-23.69667769,-3.925190108,1192.5
NC296A,16GD0138,PI_587138_,8,1,25,12,3,9,-70.23995443,58.78096611,-11.55796374,690
H84,16GD0139,Ames_27099_,8,1,0,19,0,19,33.90131631,-2.35197963,-7.357587307,592.5
CML258,16GD0140,011:292-5,8,1,0,19,0,19,-42.29236566,30.12888704,3.839800887,1110
A661,16GD0141,Ames_24576_,8,1,77.77777778,18,14,4,7.969925677,-18.39805885,5.329652759,1637.5
DE1,16GD0142,PI_543916_,8,1,0,13,0,13,2.174247088,-19.12836553,-3.311801334,690
33-16,16GD0143,Ames_19308_,8,1,0,20,0,20,0.539686033,-18.56046063,6.661915334,450
KI11,16GD0144,PI_550461_,8,1,22.22222222,18,4,14,-37.408808,22.80505074,4.708535837,1045
IL14H,16GD0145,Ames_27118_,9,1,0,13,0,13,15.34426449,-55.16099219,2.909548063,770
CI90C,16GD0146,Ames_31534_,9,1,0,21,0,21,-4.239407335,-8.433343912,3.569782141,677.5
